pdb_id	tcr_chain	species	j_allele
1ao7	TRA	HomoSapiens	TRAJ21*01
1ao7	TRB	HomoSapiens	TRBJ2-3*01
1bd2	TRA	HomoSapiens	TRAJ34*01
1bd2	TRB	HomoSapiens	TRBJ2-3*01
1d9k	TRA	MusMusculus	TRAJ34*01
1d9k	TRB	MusMusculus	TRBJ2-5*01
1fo0	TRA	MusMusculus	TRAJ42*01
1fo0	TRB	MusMusculus	TRBJ2-4*01
1fyt	TRA	HomoSapiens	TRAJ34*01
1fyt	TRB	HomoSapiens	TRBJ2-3*01
1g6r	TRA	MusMusculus	TRAJ9*01
1g6r	TRB	MusMusculus	TRBJ2-4*01
1j8h	TRA	HomoSapiens	TRAJ34*01
1j8h	TRB	HomoSapiens	TRBJ2-3*01
1kj2	TRA	MusMusculus	TRAJ9*01
1kj2	TRB	MusMusculus	TRBJ2-3*01
1mi5	TRA	HomoSapiens	TRAJ10*01
1mi5	TRB	HomoSapiens	TRBJ2-3*01
1mwa	TRA	MusMusculus	TRAJ9*01
1mwa	TRB	MusMusculus	TRBJ2-4*01
1nam	TRA	MusMusculus	TRAJ42*01
1nam	TRB	MusMusculus	TRBJ2-4*01
1oga	TRA	HomoSapiens	TRAJ14*01
1oga	TRB	HomoSapiens	TRBJ2-3*01
1qrn	TRA	HomoSapiens	TRAJ10*01
1qrn	TRB	HomoSapiens	TRBJ2-3*01
1qse	TRA	HomoSapiens	TRAJ10*01
1qse	TRB	HomoSapiens	TRBJ2-3*01
1qsf	TRA	HomoSapiens	TRAJ10*01
1qsf	TRB	HomoSapiens	TRBJ2-3*01
1u3h	TRA	MusMusculus	TRAJ34*01
1u3h	TRB	MusMusculus	TRBJ2-5*01
1ymm	TRB	HomoSapiens	TRBJ2-3*01
1zgl	TRA	HomoSapiens	TRAJ9*01
1zgl	TRB	HomoSapiens	TRBJ2-3*01
2ak4	TRA	HomoSapiens	TRAJ34*01
2ak4	TRB	HomoSapiens	TRBJ2-3*01
2bnq	TRA	HomoSapiens	TRAJ40*01
2bnq	TRB	HomoSapiens	TRBJ2-3*01
2bnr	TRA	HomoSapiens	TRAJ40*01
2bnr	TRB	HomoSapiens	TRBJ2-3*01
2ckb	TRA	MusMusculus	TRAJ9*01
2ckb	TRB	MusMusculus	TRBJ2-4*01
2esv	TRA	HomoSapiens	TRAJ34*01
2esv	TRB	HomoSapiens	TRBJ2-3*01
2f53	TRA	HomoSapiens	TRAJ40*01
2f53	TRB	HomoSapiens	TRBJ2-3*01
2f54	TRA	HomoSapiens	TRAJ40*01
2f54	TRB	HomoSapiens	TRBJ2-3*01
2gj6	TRA	HomoSapiens	TRAJ10*01
2gj6	TRB	HomoSapiens	TRBJ2-3*01
2iam	TRA	HomoSapiens	TRAJ34*01
